s1,s2,s3,s4,s5
0.494184405,1.120347381,0.974251807,0.648523867,0.593770266
0.489958197,1.095075488,0.940792739,0.635866702,0.559578419
0.483827412,1.057189226,0.93155998,0.626609385,0.551856101
0.495923668,1.021859169,0.923036993,0.595454216,0.521089911
0.509725988,0.991222143,0.905771673,0.595767677,0.509948909
0.469311714,0.970349014,0.893721044,0.568265617,0.49460578
0.470237076,0.943055332,0.885139942,0.551431835,0.504274368
0.47033146,0.936326563,0.874219537,0.545428514,0.473446339
0.473264188,0.91729641,0.861349821,0.53884387,0.488695353
0.482871085,0.89300853,0.847195923,0.528064907,0.507260144
0.474850595,0.883427143,0.830849409,0.51896733,0.497820199
0.461770535,0.864697278,0.820882916,0.508585751,0.496478647
0.458559632,0.847912908,0.806977034,0.491630167,0.487848878
0.465419233,0.847722828,0.78782928,0.493184596,0.497192442
0.486260444,0.840512931,0.771271646,0.488672554,0.476879925
0.473803043,0.837713599,0.751297295,0.507788837,0.505567372
0.483352035,0.824005544,0.735904098,0.501593769,0.501546621
0.478141367,0.814030766,0.717561483,0.508179963,0.468254626
0.497334927,0.788325548,0.692378581,0.502207816,0.487783998
0.484654695,0.79525876,0.659484684,0.50740236,0.506603777
0.463394374,0.771573126,0.641124189,0.515678227,0.480363607
0.469096243,0.761552155,0.625656188,0.500812471,0.486115575
0.493351102,0.776700675,0.602639854,0.499345988,0.455730408
0.476899445,0.768232703,0.564376354,0.496363491,0.486842155
0.463219047,0.735699296,0.554186106,0.504816592,0.49296996
0.459218442,0.742404521,0.510675609,0.498241842,0.461555302
0.465268612,0.740486443,0.490167946,0.48970142,0.477779478
0.495745242,0.734133184,0.478407592,0.482261509,0.495613009
0.496940255,0.710803807,0.497357517,0.484264821,0.493043363
0.489163637,0.690331995,0.517586172,0.474186748,0.490123093
0.46819821,0.69080317,0.517473161,0.495063394,0.477664232
0.473953307,0.685546517,0.539650142,0.484421968,0.473700196
0.46663776,0.670460343,0.535776019,0.486199886,0.478406042
0.493998528,0.672600269,0.525668144,0.486963302,0.465207398
0.436405063,0.650227487,0.534197986,0.482509464,0.484213203
0.464640439,0.658240557,0.523311138,0.46502018,0.481012553
0.469744176,0.640602589,0.516326666,0.486932874,0.486347944
0.467868507,0.641495168,0.513553679,0.486527324,0.495276064
0.441481262,0.624794722,0.494109899,0.484387249,0.496507108
0.469809651,0.616448283,0.487405568,0.498018861,0.463810414
0.486421257,0.607506037,0.472953141,0.475626677,0.456768394
0.451536268,0.613628209,0.486187518,0.498284757,0.471839935
0.496923864,0.600656867,0.48277545,0.491834819,0.472011179
0.477808326,0.568851054,0.486534566,0.479458809,0.49786523
0.461795956,0.564132035,0.499244303,0.471977472,0.463856757
0.442146927,0.561744571,0.500779033,0.478367537,0.483170509
0.483570874,0.555369139,0.49961558,0.473760664,0.474729896
0.448275864,0.561829925,0.479970038,0.489655972,0.480750084
0.464681357,0.5463413,0.487114727,0.479600996,0.479523897
0.454778612,0.535997927,0.479188234,0.469338685,0.456598461
0.4797391,,,0.488970309,0.460657895
0.434147894,,,0.488188118,0.479486793
0.459473938,,,0.456026256,0.465591043
0.46863097,,,0.474140853,0.466608971
0.478973627,,,0.485252559,0.46605438
0.472937375,,,0.471394807,0.46997866
0.484677047,,,0.486870855,0.467204988
0.468905151,,,0.466920882,0.460819542
0.475678712,,,0.477744102,0.47732088
0.443619162,,,0.475507051,0.467301488
0.457826883,,,0.484568715,0.495189786
0.460098147,,,0.473774791,0.43988657
0.470260322,,,0.462731153,0.471384078
0.473066568,,,0.469197929,0.460399479
0.458604902,,,0.483215243,0.45194602
0.477646112,,,0.482769221,0.460371286
0.462165982,,,0.466327906,0.462554276
0.473707765,,,0.479464412,0.469479173
0.46020472,,,0.477745324,0.465346545
0.471289754,,,0.474309266,0.458045423
0.486211658,,,0.467865705,0.475280046
0.465736657,,,0.4781501,0.477674425
0.480619103,,,0.469573349,0.476138532
0.467410028,,,0.463795245,0.472651213
0.470710754,,,0.475889146,0.488483489
0.431035936,,,0.47444427,0.467875779
0.455531567,,,0.475118935,0.463322699
0.451252431,,,0.473391503,0.458335429
0.471385211,,,0.483787775,0.448845178
0.471013248,,,0.472246706,0.471235991
0.470652521,,,0.490160316,0.462311566
0.44742015,,,0.463361412,0.457430542
0.486396223,,,0.474415004,0.467604756
0.461652726,,,0.486668915,0.487664342
0.462818086,,,0.47397846,0.493538886
0.465395004,,,0.465138018,0.456724614
0.4781937,,,0.470525891,0.48549974
0.462560683,,,0.469043046,0.478155702
0.474243343,,,0.465516359,0.455659926
0.499941885,,,0.467897594,0.465340465
0.458532482,,,0.492130071,0.472708195
0.459615082,,,0.475885928,0.448725641
0.458298326,,,0.478070289,0.467225879
0.47453782,,,0.459548891,0.464521974
0.473213077,,,0.472933829,0.466333807
0.447540492,,,0.462026238,0.447640538
0.470065266,,,0.468187928,0.460307181
0.450606883,,,0.475583881,0.447773367
0.475299507,,,0.458937675,0.472009838
0.484276712,,,0.471192956,0.462189227
